date,wl,iqty,rain,tdqty
2017-1-1 01:00,25.22,152.3,0,92
2017-1-1 02:00,25.22,134.6,0,88
2017-1-1 03:00,25.23,161.2,0,92
2017-1-1 04:00,25.22,63.2,0,88
2017-1-1 05:00,25.23,132.5,0,92
2017-1-1 06:00,25.22,102.1,0,92
2017-1-1 07:00,25.22,133.5,0,92
2017-1-1 08:00,25.22,135.8,0,92
2017-1-1 09:00,25.22,134.9,0,88
2017-1-1 10:00,25.22,134.9,0,93
2017-1-1 11:00,25.22,135,0,93
2017-1-1 12:00,25.22,135.1,0,92
2017-1-1 13:00,25.22,135.9,0,92
2017-1-1 14:00,25.22,137.1,0,92
2017-1-1 15:00,25.22,138.6,0,88
2017-1-1 16:00,25.22,138.5,0,88
2017-1-1 17:00,25.22,139.7,0,92
2017-1-1 18:00,25.28,560.1,0,88
2017-1-1 19:00,25.28,180,0,92
2017-1-1 20:00,25.31,237,0,88
2017-1-1 21:00,25.34,349.7,0,87
2017-1-1 22:00,25.35,233,0,103
2017-1-1 23:00,25.31,187.4,0,167
2017-1-2 00:00,25.31,167.5,0,168
2017-1-2 01:00,25.34,302.3,0,126
2017-1-2 02:00,25.29,0,0,126
2017-1-2 03:00,25.29,124.1,0,120
2017-1-2 04:00,25.29,278.4,0,120
2017-1-2 05:00,25.28,125.9,0,120
2017-1-2 06:00,25.28,168.2,0,126
2017-1-2 07:00,25.27,134.5,0,126
2017-1-2 08:00,25.27,136.4,0,108
2017-1-2 09:00,25.26,137.5,0,92
2017-1-2 10:00,25.29,353.3,0,92
2017-1-2 11:00,25.29,179,0,125
2017-1-2 12:00,25.31,200,0,125
2017-1-2 13:00,25.32,209,0,119
2017-1-2 14:00,25.29,0,0,125
2017-1-2 15:00,25.3,186,0,120
2017-1-2 16:00,25.28,105.8,0,120
2017-1-2 17:00,25.27,65.7,0,126
2017-1-2 18:00,25.31,310.5,0,120
2017-1-2 19:00,25.29,101,0,126
2017-1-2 20:00,25.3,179.2,0,126
2017-1-2 21:00,25.34,349.4,0,126
2017-1-2 22:00,25.3,150.2,0,119
2017-1-2 23:00,25.29,74.7,0,120
2017-1-3 00:00,25.31,305.2,0,114
2017-1-3 01:00,25.29,45.9,0,97
2017-1-3 02:00,25.29,144.8,0,97
2017-1-3 03:00,25.29,151.9,0,103
2017-1-3 04:00,25.28,116.3,0,97
2017-1-3 05:00,25.29,231.7,0,97
2017-1-3 06:00,25.28,104.5,0,97
2017-1-3 07:00,25.28,90.5,0,97
2017-1-3 08:00,25.27,139.7,0,97
2017-1-3 09:00,25.25,114.7,0,114
2017-1-3 10:00,25.26,262.9,0,150
2017-1-3 11:00,25.27,336.7,0,144
2017-1-3 12:00,25.26,156.4,0,144
2017-1-3 13:00,25.28,249.2,0,138
2017-1-3 14:00,25.26,161.6,0,138
2017-1-3 15:00,25.29,358,0,144
2017-1-3 16:00,25.28,195.2,0,138
2017-1-3 17:00,25.29,208,0,138
2017-1-3 18:00,25.32,350.6,0,138
2017-1-3 19:00,25.31,121.1,0,138
2017-1-3 20:00,25.32,200,0,144
2017-1-3 21:00,25.34,299.9,0,144
2017-1-3 22:00,25.3,0,0,144
2017-1-3 23:00,25.31,212,0,138
2017-1-4 00:00,25.29,116.1,0,144
2017-1-4 01:00,25.29,102.2,0,98
2017-1-4 02:00,25.29,150,0,97
2017-1-4 03:00,25.28,128,0,97
2017-1-4 04:00,25.28,129.3,0,103
2017-1-4 05:00,25.28,153.8,0,97
2017-1-4 06:00,25.27,77.8,0,97
2017-1-4 07:00,25.27,152.6,0,103
2017-1-4 08:00,25.26,96.3,0,97
2017-1-4 09:00,25.26,152.6,0,98
2017-1-4 10:00,25.29,372.6,0,97
2017-1-4 11:00,25.28,108.3,0,103
2017-1-4 12:00,25.29,170,0,97
2017-1-4 13:00,25.3,204.2,0,97
2017-1-4 14:00,25.27,0,0,97
2017-1-4 15:00,25.28,121.3,0,97
2017-1-4 16:00,25.3,305,0,103
2017-1-4 17:00,25.29,77.9,0,97
2017-1-4 18:00,25.32,311.3,0,97
2017-1-4 19:00,25.35,328.6,0,97
2017-1-4 20:00,25.36,171,0,103
2017-1-4 21:00,25.34,158.8,0,97
2017-1-4 22:00,25.34,143.3,0,97
2017-1-4 23:00,25.36,307.8,0,103
2017-1-5 00:00,25.32,0,0,97
2017-1-5 01:00,25.34,140,0,97
2017-1-5 02:00,25.34,206.1,0,97
2017-1-5 03:00,25.31,0,0,103
2017-1-5 04:00,25.32,228.7,0,97
2017-1-5 05:00,25.31,124.4,0,97
2017-1-5 06:00,25.31,147.7,0,97
2017-1-5 07:00,25.3,137.2,0,108
2017-1-5 08:00,25.29,139.6,0,125
2017-1-5 09:00,25.29,179.9,0,131
2017-1-5 10:00,25.28,165.4,0,126
2017-1-5 11:00,25.3,320.7,0,126
2017-1-5 12:00,25.29,161.7,0,126
2017-1-5 13:00,25.31,248.6,0,126
2017-1-5 14:00,25.28,36.6,0,131
2017-1-5 15:00,25.32,351.5,0,126
2017-1-5 16:00,25.3,117.3,0,126
2017-1-5 17:00,25.32,204.8,0,126
2017-1-5 18:00,25.35,400.3,0,120
2017-1-5 19:00,25.35,178.6,0,125
2017-1-5 20:00,25.32,150.4,0,125
2017-1-5 21:00,25.34,161.4,0,125
2017-1-5 22:00,25.35,287.7,0,125
2017-1-5 23:00,25.3,0,0,125
2017-1-6 00:00,25.31,140.7,0,120
2017-1-6 01:00,25.31,153.2,0,103
2017-1-6 02:00,25.29,39.7,0,103
2017-1-6 03:00,25.29,143.3,0,103
2017-1-6 04:00,25.29,150,0,97
2017-1-6 05:00,25.29,149.8,0,97
2017-1-6 06:00,25.29,150.4,0,103
2017-1-6 07:00,25.28,70.3,0,97
2017-1-6 08:00,25.28,148.4,0,103
2017-1-6 09:00,25.27,144.2,0,97
2017-1-6 10:00,25.29,162.4,0,103
2017-1-6 11:00,25.29,156.2,0,97
2017-1-6 12:00,25.29,149.5,0,97
2017-1-6 13:00,25.31,260,0,97
2017-1-6 14:00,25.27,0,0,103
2017-1-6 15:00,25.29,199.1,0,97
2017-1-6 16:00,25.31,340.9,0,97
2017-1-6 17:00,25.29,47.1,0,97
2017-1-6 18:00,25.34,372.5,0,97
2017-1-6 19:00,25.35,228.4,0,97
2017-1-6 20:00,25.36,172.4,0,97
2017-1-6 21:00,25.34,82.4,0,103
2017-1-6 22:00,25.35,142.2,0,103
2017-1-6 23:00,25.36,307.8,0,102.6
2017-1-7 00:00,25.31,0,0,102.6
2017-1-7 01:00,25.34,199.4,0,103
2017-1-7 02:00,25.32,161.1,0,97
2017-1-7 03:00,25.31,0,0,102.8
2017-1-7 04:00,25.31,149,0,102.8
2017-1-7 05:00,25.3,45.2,0,102.8
2017-1-7 06:00,25.3,149,0,102.8
2017-1-7 07:00,25.3,149,0,102.8
2017-1-7 08:00,25.29,45.4,0,102.9
2017-1-7 09:00,25.29,149.1,0,102.9
2017-1-7 10:00,25.29,149.1,0,102.9
2017-1-7 11:00,25.31,356.5,0,102.8
2017-1-7 12:00,25.3,45.2,0,102.8
2017-1-7 13:00,25.34,564.7,0,102.7
2017-1-7 14:00,25.32,158.2,0,97
2017-1-7 15:00,25.34,171.8,0,97
2017-1-7 16:00,25.34,162.6,0,103
2017-1-7 17:00,25.34,151.5,0,97
2017-1-7 18:00,25.35,222.5,0,97
2017-1-7 19:00,25.35,218.2,0,103
2017-1-7 20:00,25.36,175.4,0,103
2017-1-7 21:00,25.36,150.1,0,97
2017-1-7 22:00,25.34,23.7,0,97
2017-1-7 23:00,25.35,213.5,0,97
2017-1-8 00:00,25.34,112.8,0,103
2017-1-8 01:00,25.34,2.7,0,103
2017-1-8 02:00,25.34,147.7,0,97
2017-1-8 03:00,25.31,0,0,103
2017-1-8 04:00,25.31,135.6,0,97
2017-1-8 05:00,25.3,153.7,0,97
2017-1-8 06:00,25.3,143.5,0,103
2017-1-8 07:00,25.3,147.5,0,103
2017-1-8 08:00,25.29,79.9,0,97
2017-1-8 09:00,25.29,143.5,0,103
2017-1-8 10:00,25.29,146.9,0,97
2017-1-8 11:00,25.31,280.6,0,97
2017-1-8 12:00,25.28,124.3,0,103
2017-1-8 13:00,25.29,154.7,0,97
2017-1-8 14:00,25.3,278.7,0,97
2017-1-8 15:00,25.26,0,0,103
2017-1-8 16:00,25.29,227.9,0,97
2017-1-8 17:00,25.28,113.8,0,97
2017-1-8 18:00,25.26,0,0,103
2017-1-8 19:00,25.3,454.1,0,103
2017-1-8 20:00,25.29,108.5,0,103
2017-1-8 21:00,25.34,337,0,97
2017-1-8 22:00,25.35,242.3,0,103
2017-1-8 23:00,25.3,21.3,0,103
2017-1-9 00:00,25.32,230.7,0,103
2017-1-9 01:00,25.34,351.1,0,108
2017-1-9 02:00,25.29,0,0,108
2017-1-9 03:00,25.3,129.2,0,108
2017-1-9 04:00,25.3,187.4,0,108
2017-1-9 05:00,25.29,93.4,0,108
2017-1-9 06:00,25.29,157.5,0,114
2017-1-9 07:00,25.27,93.6,0,108
2017-1-9 08:00,25.28,248.1,0,108
2017-1-9 09:00,25.26,121.1,0,108
2017-1-9 10:00,25.25,129.9,0,108
2017-1-9 11:00,25.29,476.2,0,108
2017-1-9 12:00,25.27,142.7,0,168
2017-1-9 13:00,25.28,233.5,0,169
2017-1-9 14:00,25.25,13.2,0,169
2017-1-9 15:00,25.28,368.5,0,169
2017-1-9 16:00,25.26,184.8,0,169
2017-1-9 17:00,25.25,234.6,0,175
2017-1-9 18:00,25.25,469.7,0,348
2017-1-9 19:00,25.22,250.8,0,348
2017-1-9 20:00,25.21,333.8,0,356
2017-1-9 21:00,25.19,304.9,0,356
2017-1-9 22:00,25.19,154.4,0,239
2017-1-9 23:00,25.2,237.1,0,121
2017-1-10 00:00,25.17,42.1,0,132
2017-1-10 01:00,25.18,96.4,0,109
2017-1-10 02:00,25.18,202.6,0,109
2017-1-10 03:00,25.15,0.7,0,109
