,0
2017.1.1 0:00,268
2017.1.1 1:00,192
2017.1.1 2:00,132
2017.1.1 3:00,89
2017.1.1 4:00,176
2017.1.1 5:00,264
2017.1.1 6:00,414
2017.1.1 7:00,544
2017.1.1 8:00,590
2017.1.1 9:00,517
2017.1.1 10:00,415
2017.1.1 11:00,316
2017.1.1 12:00,232
2017.1.1 13:00,161
2017.1.1 14:00,101
2017.1.1 15:00,53
2017.1.1 16:00,131
2017.1.1 17:00,235
2017.1.1 18:00,405
2017.1.1 19:00,576
2017.1.1 20:00,673
2017.1.1 21:00,633
2017.1.1 22:00,534
2017.1.1 23:00,427
2017.1.2 0:00,328
2017.1.2 1:00,241
2017.1.2 2:00,170
2017.1.2 3:00,114
2017.1.2 4:00,120
2017.1.2 5:00,204
2017.1.2 6:00,323
2017.1.2 7:00,472
2017.1.2 8:00,579
2017.1.2 9:00,570
2017.1.2 10:00,482
2017.1.2 11:00,377
2017.1.2 12:00,285
2017.1.2 13:00,206
2017.1.2 14:00,139
2017.1.2 15:00,82
2017.1.2 16:00,75
2017.1.2 17:00,171
2017.1.2 18:00,303
2017.1.2 19:00,475
2017.1.2 20:00,618
2017.1.2 21:00,651
2017.1.2 22:00,576
2017.1.2 23:00,472
2017.1.3 0:00,371
2017.1.3 1:00,279
2017.1.3 2:00,202
2017.1.3 3:00,139
2017.1.3 4:00,90
2017.1.3 5:00,153
2017.1.3 6:00,230
2017.1.3 7:00,366
2017.1.3 8:00,497
2017.1.3 9:00,566
2017.1.3 10:00,518
2017.1.3 11:00,426
2017.1.3 12:00,327
2017.1.3 13:00,242
2017.1.3 14:00,172
2017.1.3 15:00,110
2017.1.3 16:00,60
2017.1.3 17:00,122
2017.1.3 18:00,217
2017.1.3 19:00,375
2017.1.3 20:00,540
2017.1.3 21:00,646
2017.1.3 22:00,624
2017.1.3 23:00,535
2017.1.4 0:00,432
2017.1.4 1:00,337
2017.1.4 2:00,249
2017.1.4 3:00,179
2017.1.4 4:00,122
2017.1.4 5:00,99
2017.1.4 6:00,185
2017.1.4 7:00,280
2017.1.4 8:00,417
2017.1.4 9:00,527
2017.1.4 10:00,555
2017.1.4 11:00,488
2017.1.4 12:00,393
2017.1.4 13:00,300
2017.1.4 14:00,222
2017.1.4 15:00,155
2017.1.4 16:00,97
2017.1.4 17:00,68
2017.1.4 18:00,157
2017.1.4 19:00,264
2017.1.4 20:00,419
2017.1.4 21:00,551
2017.1.4 22:00,616
2017.1.4 23:00,565
2017.1.5 0:00,474
2017.1.5 1:00,378
2017.1.5 2:00,290
2017.1.5 3:00,214
2017.1.5 4:00,150
2017.1.5 5:00,97
2017.1.5 6:00,118
2017.1.5 7:00,185
2017.1.5 8:00,293
2017.1.5 9:00,419
2017.1.5 10:00,512
2017.1.5 11:00,523
2017.1.5 12:00,454
2017.1.5 13:00,365
2017.1.5 14:00,279
2017.1.5 15:00,204
2017.1.5 16:00,141
2017.1.5 17:00,89
2017.1.5 18:00,114
2017.1.5 19:00,185
2017.1.5 20:00,308
2017.1.5 21:00,447
2017.1.5 22:00,555
2017.1.5 23:00,584
2017.1.6 0:00,524
2017.1.6 1:00,439
2017.1.6 2:00,348
2017.1.6 3:00,266
2017.1.6 4:00,196
2017.1.6 5:00,137
2017.1.6 6:00,94
2017.1.6 7:00,153
2017.1.6 8:00,216
2017.1.6 9:00,335
2017.1.6 10:00,453
2017.1.6 11:00,532
2017.1.6 12:00,533
2017.1.6 13:00,463
2017.1.6 14:00,378
2017.1.6 15:00,294
2017.1.6 16:00,221
2017.1.6 17:00,160
2017.1.6 18:00,113
2017.1.6 19:00,151
2017.1.6 20:00,216
2017.1.6 21:00,334
2017.1.6 22:00,452
2017.1.6 23:00,540
2017.1.7 0:00,554
2017.1.7 1:00,494
2017.1.7 2:00,413
2017.1.7 3:00,327
2017.1.7 4:00,250
2017.1.7 5:00,184
2017.1.7 6:00,128
2017.1.7 7:00,85
2017.1.7 8:00,125
2017.1.7 9:00,178
2017.1.7 10:00,283
2017.1.7 11:00,398
2017.1.7 12:00,491
2017.1.7 13:00,519
2017.1.7 14:00,466
2017.1.7 15:00,387
2017.1.7 16:00,303
2017.1.7 17:00,227
2017.1.7 18:00,166
2017.1.7 19:00,115
2017.1.7 20:00,125
2017.1.7 21:00,186
2017.1.7 22:00,286
2017.1.7 23:00,399
2017.1.8 0:00,484
2017.1.8 1:00,525
2017.1.8 2:00,486
2017.1.8 3:00,412
2017.1.8 4:00,329
2017.1.8 5:00,250
2017.1.8 6:00,183
2017.1.8 7:00,126
2017.1.8 8:00,78
2017.1.8 9:00,95
2017.1.8 10:00,150
2017.1.8 11:00,250
2017.1.8 12:00,378
2017.1.8 13:00,484
2017.1.8 14:00,544
2017.1.8 15:00,513
2017.1.8 16:00,439
2017.1.8 17:00,355
2017.1.8 18:00,274
2017.1.8 19:00,206
2017.1.8 20:00,150
2017.1.8 21:00,114
2017.1.8 22:00,172
2017.1.8 23:00,242
2017.1.9 0:00,354
2017.1.9 1:00,455
2017.1.9 2:00,524
2017.1.9 3:00,505
2017.1.9 4:00,433
2017.1.9 5:00,347
2017.1.9 6:00,265
2017.1.9 7:00,194
2017.1.9 8:00,134
2017.1.9 9:00,79
2017.1.9 10:00,48
2017.1.9 11:00,114
2017.1.9 12:00,193
2017.1.9 13:00,325
2017.1.9 14:00,457
2017.1.9 15:00,538
2017.1.9 16:00,525
2017.1.9 17:00,448
2017.1.9 18:00,359
2017.1.9 19:00,277
2017.1.9 20:00,206
2017.1.9 21:00,147
2017.1.9 22:00,97
2017.1.9 23:00,121
2017.1.10 0:00,182
2017.1.10 1:00,292
2017.1.10 2:00,418
2017.1.10 3:00,514
2017.1.10 4:00,533
2017.1.10 5:00,466
2017.1.10 6:00,374
2017.1.10 7:00,284
2017.1.10 8:00,207
2017.1.10 9:00,143
2017.1.10 10:00,86
2017.1.10 11:00,41
2017.1.10 12:00,110
2017.1.10 13:00,200
2017.1.10 14:00,351
2017.1.10 15:00,505
2017.1.10 16:00,611
2017.1.10 17:00,590
2017.1.10 18:00,508
2017.1.10 19:00,409
2017.1.10 20:00,317
2017.1.10 21:00,235
2017.1.10 22:00,167
2017.1.10 23:00,111
2017.1.11 0:00,97
2017.1.11 1:00,174
2017.1.11 2:00,273
2017.1.11 3:00,409
2017.1.11 4:00,519
2017.1.11 5:00,550
2017.1.11 6:00,482
2017.1.11 7:00,383
2017.1.11 8:00,289
2017.1.11 9:00,209
2017.1.11 10:00,144
2017.1.11 11:00,85
2017.1.11 12:00,40
2017.1.11 13:00,114
2017.1.11 14:00,212
2017.1.11 15:00,382
2017.1.11 16:00,559
2017.1.11 17:00,663
2017.1.11 18:00,629
2017.1.11 19:00,538
2017.1.11 20:00,432
2017.1.11 21:00,333
2017.1.11 22:00,244
2017.1.11 23:00,173
2017.1.12 0:00,115
2017.1.12 1:00,97
2017.1.12 2:00,190
2017.1.12 3:00,302
